[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Tag[ route_check ] --START--
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Tag[ app_begin ] --START--
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Tag[ view_template ] --START--
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Run LocationTemplate Behavior [ RunTime:0.015600s ]
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.015600s ]
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Tag[ view_parse ] --START--
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Tag[ view_filter ] --START--
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Run TokenBuild Behavior [ RunTime:0.015600s ]
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015600s ]
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Tag[ view_end ] --START--
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2016-09-13T20:58:17+08:00 ] /wd/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
