[ 2016-10-04T17:43:07+08:00 ] /wd/index.php/List/index/id/999222 | INFO: Tag[ route_check ] --START--
[ 2016-10-04T17:43:07+08:00 ] /wd/index.php/List/index/id/999222 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-10-04T17:43:07+08:00 ] /wd/index.php/List/index/id/999222 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-10-04T17:43:07+08:00 ] /wd/index.php/List/index/id/999222 | INFO: Tag[ app_begin ] --START--
[ 2016-10-04T17:43:07+08:00 ] /wd/index.php/List/index/id/999222 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-10-04T17:43:07+08:00 ] /wd/index.php/List/index/id/999222 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-10-04T17:43:08+08:00 ] /wd/index.php/List/index/id/999222 | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.010000s ]
[ 2016-10-04T17:43:08+08:00 ] /wd/index.php/List/index/id/999222 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 999222 )  [ RunTime:0.000000s ]
[ 2016-10-04T17:43:08+08:00 ] /wd/index.php/List/index/id/999222 | SQL: SELECT `pid` FROM `hd_category` WHERE ( `id` = 999222 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-10-04T17:43:08+08:00 ] /wd/index.php/List/index/id/999222 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = null )  [ RunTime:0.001000s ]
[ 2016-10-04T17:43:08+08:00 ] /wd/index.php/List/index/id/999222 | NOTIC: [8] Use of undefined constant cate - assumed 'cate' ListAction.class.php 第 18 行.
[ 2016-10-04T17:43:08+08:00 ] /wd/index.php/List/index/id/999222 | INFO: Tag[ view_template ] --START--
[ 2016-10-04T17:43:08+08:00 ] /wd/index.php/List/index/id/999222 | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-10-04T17:43:08+08:00 ] /wd/index.php/List/index/id/999222 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-10-04T17:43:08+08:00 ] /wd/index.php/List/index/id/999222 | INFO: Tag[ view_parse ] --START--
[ 2016-10-04T17:43:08+08:00 ] /wd/index.php/List/index/id/999222 | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 16 and defined TagLib.class.php 第 111 行.
[ 2016-10-04T17:43:08+08:00 ] /wd/index.php/List/index/id/999222 | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2016-10-04T17:43:08+08:00 ] /wd/index.php/List/index/id/999222 | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
