[ 2016-10-05T14:39:50+08:00 ] /wd/index.php/Common/checkLogin | INFO: Tag[ route_check ] --START--
[ 2016-10-05T14:39:50+08:00 ] /wd/index.php/Common/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-10-05T14:39:50+08:00 ] /wd/index.php/Common/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-10-05T14:39:50+08:00 ] /wd/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2016-10-05T14:39:50+08:00 ] /wd/index.php/Common/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:39:50+08:00 ] /wd/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-10-05T14:39:50+08:00 ] /wd/index.php/Common/checkLogin | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-10-05T14:39:51+08:00 ] /wd/index.php/Common/checkLogin | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.037002s ]
[ 2016-10-05T14:39:51+08:00 ] /wd/index.php/Common/checkLogin | SQL: SELECT `password` FROM `hd_user` WHERE ( `account` = 'test003' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-10-05T14:39:51+08:00 ] /wd/index.php/Common/checkLogin | INFO: Tag[ route_check ] --START--
[ 2016-10-05T14:39:51+08:00 ] /wd/index.php/Common/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-10-05T14:39:51+08:00 ] /wd/index.php/Common/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-10-05T14:39:51+08:00 ] /wd/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2016-10-05T14:39:51+08:00 ] /wd/index.php/Common/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:39:51+08:00 ] /wd/index.php/Common/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-10-05T14:39:51+08:00 ] /wd/index.php/Common/checkLogin | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-10-05T14:39:52+08:00 ] /wd/index.php/Common/checkLogin | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.035002s ]
[ 2016-10-05T14:39:52+08:00 ] /wd/index.php/Common/checkLogin | SQL: SELECT `password` FROM `hd_user` WHERE ( `account` = 'test003' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-10-05T14:39:53+08:00 ] /wd/index.php/List/index/id/32 | INFO: Tag[ route_check ] --START--
[ 2016-10-05T14:39:53+08:00 ] /wd/index.php/List/index/id/32 | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:39:53+08:00 ] /wd/index.php/List/index/id/32 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2016-10-05T14:39:53+08:00 ] /wd/index.php/List/index/id/32 | INFO: Tag[ app_begin ] --START--
[ 2016-10-05T14:39:53+08:00 ] /wd/index.php/List/index/id/32 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-10-05T14:39:53+08:00 ] /wd/index.php/List/index/id/32 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-10-05T14:39:54+08:00 ] /wd/index.php/List/index/id/32 | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.022002s ]
[ 2016-10-05T14:39:54+08:00 ] /wd/index.php/List/index/id/32 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 32 )  [ RunTime:0.002000s ]
